,System Pout Consumption Energy [kWh],System Pout AC-coupling Energy [kWh],System Pin Consumption Energy [kWh],System Pin Injection Energy [kWh],System Batt Charge Energy [kWh],System Batt Discharge Energy [kWh],Solar Power Energy [kWh]
2018-04-19,21.356499999999915,0.0,13.030166666666654,0.0,8.57756550666665,-7.620415668333334,9.739166666666675
2018-04-20,20.22633333333338,0.0,13.421333333333314,0.0,7.300579911666667,-6.047307260000002,8.507166666666645
2018-04-21,19.024833333333348,0.0,9.976500000000007,0.0,7.440811331666671,-6.805485148333332,10.081333333333351
2018-04-22,18.525833333333303,0.0,9.556166666666668,0.0,9.30084925833333,-8.438900221666671,10.574333333333302
2018-04-23,16.282500000000013,0.0,7.44300000000001,0.0,8.422580419999997,-7.6204236866666655,9.93366666666665
2018-04-24,17.392333333333397,0.0,9.044833333333335,0.0,8.035768418333335,-6.84955624,10.014666666666661
2018-04-25,18.141166666666603,0.0,8.501000000000007,0.0,8.305938713333328,-7.811723703333324,10.301500000000011
2018-04-26,19.624999999999865,0.0,10.514166666666663,0.0,10.110871494999996,-8.576397128333332,11.579000000000013
2018-04-27,19.283999999999864,0.0,9.831499999999995,0.0,10.172439201666675,-9.301536570000005,10.995500000000005
2018-04-28,19.501499999999933,0.0,11.031999999999986,0.0,9.385235200000011,-8.093573003333347,10.483666666666652
2018-04-29,16.533000000000005,0.0,11.405166666666672,0.0,8.204474206666658,-7.878998101666673,5.990333333333313
2018-04-30,14.572166666666664,0.0,5.818500000000004,0.0,7.833907585000002,-6.747459034999994,10.49466666666668
2018-05-01,14.038000000000004,0.0,7.327666666666662,0.0,6.252524133333338,-5.893149533333339,7.697166666666666
2018-05-02,14.297500000000074,0.0,6.241666666666663,0.0,7.631263346666673,-6.547410993333319,9.676666666666655
2018-05-03,14.714500000000067,0.0,7.902833333333342,0.0,7.754320343333327,-6.947882065000003,8.122999999999983
2018-05-04,14.013166666666667,0.0,3.3671666666666678,0.0,6.282381518333336,-6.4950595633333394,11.074166666666653
2018-05-05,7.887666666666769,0.0,4.0518333333333345,0.0,6.457167335000002,-3.2901029699999915,7.495999999999997
2018-05-06,5.983666666666624,0.0,0.0,0.0,3.368337241666661,-2.8213963366666683,6.887000000000014
2018-05-07,5.823833333333444,0.0,0.0,0.0,3.1533405800000014,-3.575190433333341,5.750166666666636
2018-05-08,5.87766666666669,0.0,0.0,0.0,4.464365278333336,-3.661808525000003,7.076166666666661
2018-05-09,5.8440000000000785,0.0,0.0,0.0,3.512695241666668,-3.0816616483333377,6.627333333333334
2018-05-10,5.836500000000074,0.0,0.0,0.0,3.023068069999996,-2.962669458333333,6.265833333333328
2018-05-11,6.103999999999994,0.0,0.0,0.0,3.749471136666668,-2.82158682666666,7.450499999999965
2018-05-12,5.888833333333445,0.0,0.0,0.0,3.430017685000001,-2.8924202183333434,6.821833333333347
2018-05-13,5.902500000000049,0.0,0.0,0.0,3.349247806666669,-2.8611514133333267,6.791500000000017
2018-05-14,5.898166666666745,0.0,0.0,0.0,3.5372598233333337,-3.1132720316666673,6.709166666666667
2018-05-15,5.946500000000009,0.0,0.0,0.0,3.318683955,-3.7733619583333393,5.832499999999999
2018-05-16,5.985500000000025,0.0,0.0,0.0,4.1420667999999985,-3.2515502050000014,7.2266666666666435
2018-05-17,6.053833333333324,0.0,0.0,0.0,3.64529373,-3.3507303183333192,6.6793333333333145
2018-05-18,7.401000000000056,0.0,3.2956666666666674,0.0,4.173755205000003,-3.152745284999997,5.358833333333341
2018-05-19,5.834833333333342,0.0,0.0,0.0,3.310178264999997,-2.984621874999998,6.517499999999995
2018-05-20,6.033999999999954,0.0,0.0,0.0,3.8748494516666647,-3.520054134999993,6.733499999999995
2018-05-21,5.802833333333402,0.0,0.0,0.0,3.47159246166667,-2.8094335366666674,6.847666666666669
2018-05-22,5.751333333333403,0.0,0.0,0.0,3.229064395,-2.792357078333328,6.528499999999988
2018-05-23,5.839666666666726,0.0,0.0,0.0,3.6539440833333336,-3.105469051666658,6.754499999999995
2018-05-24,5.896833333333331,0.0,0.0,0.0,3.3206848466666656,-2.8191359700000036,6.767666666666701
2018-05-25,5.947833333333318,0.0,0.0,0.0,3.2541429133333324,-2.829788463333339,6.728499999999979
2018-05-26,5.952666666666621,0.0,0.0,0.0,3.124905828333333,-3.471767751666663,5.91199999999998
2018-05-27,6.012499999999928,0.0,0.0,0.0,4.023279598333334,-2.929460836666668,7.5096666666666465
2018-05-28,6.074166666666667,0.0,0.0,0.0,3.7001123900000024,-3.4315795316666735,6.698833333333308
2018-05-29,6.005499999999995,0.0,0.0,0.0,3.6154008999999974,-2.8877605233333354,7.119666666666702
2018-05-30,6.011,0.0,0.0,0.0,3.114090341666667,-3.3965392933333294,6.088499999999973
2018-05-31,6.167499999999938,0.0,0.0,0.0,4.205618455000002,-3.1782630233333355,7.650166666666659
2018-06-01,6.1061666666666605,0.0,0.0,0.0,3.661738553333335,-3.2700464799999915,6.874166666666658
2018-06-02,5.988499999999941,0.0,0.0,0.0,3.3616643233333354,-2.7455975883333323,6.9645
2018-06-03,5.908833333333331,0.0,0.0,0.0,3.152922668333333,-2.916046168333332,6.510166666666675
